ID,Q1,Q2,Q3
206,"I think it all depends on the spectrum of what you define as sustainable in space. In terms of applications, technologies, but it can also be the behaviour of space actors.  I think governments definitely should support and fund researchers, but the responsibility, I believe, should rather be held by operators, who are physically engaging in space activities. And then we should put this on top of the agenda, as a priority, with the support of governments. This most likely will change overtime. The way I could picture that is how it was in air transport. It used to be an idea and concept and now it has become a clear part of any business application. If you fly on a commercial plane now, you can take personal actions about your sustainability impact. And also at plane construction they select certain applications and technologies. And I think that space will follow a similar path, where responsibility would be diluted across multiple axes, and supported by states.","I think it is connected to the mentality of people and to society. More and more we see that sustainability now is an inherent part of any business. Predominantly because of social pressure and social norms around this conventional use of resources that we have had so far. For too long it was ok for companies to do whatever they want, with impunity on the impact and no repercussions for their activities. And I think now the mindset of the general public will push companies to actually act responsibly about their in-space flights and in-space activities. This is a very Western way of seeing this concept, and it would be very interesting to analyze this concept with different mindsets coming from new companies or new countries starting space exploration, for example, India, China, other Asian and Latin American countries that have also evolved to space exploration to see if they share a similar mindset. My thinking is that perhaps we are a couple of years ahead of their mindset, because they will first want to prove their technology before taking an action to make it sustainable. And I think it’s a step by step approach, we are more far ahead, meaning that our companies will have to integrate sustainability in their actions, otherwise they would not have any credibility among the population and the public at large. But other nations still have a couple of years ahead before it becomes required and mandatory.","I think both a commercial path and an open-source path are possible. I’ve seen on the market many actors actually pursuing both endeavors by segmenting their data in a timely manner. So, the open data for the safety of space activities is critical nowadays, and should always be considered. But information is key, and accuracy and timeliness of information make it even more valuable. I think to be able to continue offering free information that can be fully accessible, you need funding, and a good way to do funding is obviously to go commercial. The way I would approach this topic, is to offer subscriptions (commercial side) in a time-sensitive manner, meaning that any update within X hours will be accessible. But then this update will be delayed by several days before it is open-sourced and reaches the general public. And so you basically have a premium access and premium knowledge on what is happening, and for that you would pay a premium price. And doing this can be very useful for key actors, for example, insurance companies, because they would want to know  what orbits are polluted or are expected to become polluted, meaning, the risk of collisions is increased, meaning that the premium they would have to pay for insurance will also be increased. But also for coordination of activities, orbital transfer, large-scale maneuvers that will happen  in different orbits that is also the prime information that you would want to know ahead of everyone else, because then you would want to take preliminary action and not just consult an open-source environment."
207,"Probably a combination [of public and private money]. Actually, it depends on the type of the mission. You have two types of space activities: institutional space driven by space agencies (ESA, NASA, JAXA, ISRO, etc) and on the other side you have New Space missions, commercial missions, and some of them are driven by the agencies, but most of the missions are commercial missions. So, for institutional space, as it has public funding, it is paid by us, taxpayers, and it should take sustainability into account in the budget granted by the agencies. Regarding commercial activities, sustainability will probably be paid for by the end-user. The costs will be diluted, integrated, consolidated into the price of the service provided by these missions. But in any case, my belief is that it is complete nonsense to allow billionaires to send thousands or tens of thousands of objects into space without having any possibility to bring them back. At least there should be a tax. Probably, it should be managed by the UN or a kind of consortium of all the space agencies. Because the problem can prevent our great-grandchildren from sending anything to space! It is like pollution on earth.","If in the end, it is cheaper for them to use it than not use it, they would adopt such a technology. For instance, SpaceX is using the same rocket several times. Obviously, they say it is to prevent pollution (and, it is the case), but it is in fact because it is less expensive. And today ArianeSpace is looking into a solution like that to decrease the price. The purpose of a private company is to create profit. So, it is either you force companies to use sustainable components and solutions, or these sustainable components and solutions are cheaper. And these are the only two solutions.","If you want to broadcast and if you want to have an impact on the industry, then open-source it, combine with training sessions, performing API, and ergonomic solutions. And you will be paid for the training sessions, for the expertise and not for your data. Space is a complex field, and companies are operating under short timeframes. They would not want to waste too much time figuring out how to use your technology, they want quick solutions. Open source it for everyone, so that academics, who have more time and patience, can learn how to use your technology by themselves. And, maybe, they would also contribute with their data. And then you sell training sessions to companies.  So, if you really want to address the private market, open-source is the right solution, but with added services which will obviously not be free. I guess it is the best solution. I used to work in software, and from my experience, if you want to address the private market,  open-source data is never enough. You need to teach people, you need to provide them with solutions that will help them to process the data and use it for their own needs. And these side activities will generate some revenue for you. But the data itself should be free, without any IP. It is an intermediate solution. With this solution you would address part of the market, but most of the companies would probably prefer embedding your solution  in their solution. So, some of the companies accept external IPs in their solutions, but most of them want to export, they don’t want to negotiate with third parties if they are allowed or not allowed to use the IPs. I think you constrain your market. But obviously, it is a solution, and you can explore it."
208,"The problem we are facing is very complex, with many different cases to consider. For infrastructure used by all of society, it is up to society to pay. Take navigation for example: if you want a sustainable system, society should fund it. Currently, this service is free, so the costs are covered by governments or the organizations that set up these systems, who also must cover sustainability costs. In the case of military systems, these are government-funded. For telecommunications, which often involve private companies, the end user ultimately bears the cost. This cost is passed down from the company, ensuring they retain their benefits. In any scenario, whether through government-funded systems or services like telecommunications, costs are passed on to citizens through taxes or subscriptions.Ultimately, whatever the system, citizens end up paying for more sustainable services in the long run.","Private companies will only adopt sustainability practices if mandated by law, otherwise, they will pass the costs onto consumers. Two decades later, the U.S. authorized a plan for 10,000 satellites in LEO, ignoring warnings due to economic incentives and strategic advantages, even anticipating similar actions from China and Russia. I am skeptical of national governments implementing effective laws in this area, given their past inaction. The only feasible solution might be an international treaty enforced by user demand, acknowledging the convenience of global satellite coverage provided by initiatives like those proposed by Elon Musk. This might be the only way to regulate and limit the deployment of satellites effectively. Legislation limited to one government, to one country, will have no effect. That means if Switzerland decides to do better, or even France or the European Space Agency impose, and they try to impose this now, they want to be more constrained and so on, to be more sustainable, it's about 5% of the satellites, all European contribution. That means you have the US, you have China, we have Russia. And if the major players are not the drivers of that, any action will be without any effect, or negligible effect. The initiative which contributes to having clean airspace, clean space, the 80 million given by the Space Agency for this mission, at the origin I remember the speech of Isaac Eventon. He said, we want to be the leader of sustainability, we want the 150 satellites of ESA that have been launched over the last 40 to 50 years to be removed. And that by 2035, there are no more ESA satellites in orbit that are not in operation. We are 10 years later, clean space, still working to try to remove the first debris, which is maybe now a small satellite. We have not moved 2% of the way, of the objective of the ESA directors in Europe, of 70 of them. Speech, word, no action. You have billions for science, the ESA mission, 1.5 billion. Many others, you have, I think, the typical budget of ESA for science is 1 billion a year, a few tens of millions for sustainability. Even when the director declares it's over. Only, only legislative, strong legislation, ESA agreed, good. But to reach that, how to put the same table, Russian, American, Russia and China, that they make decisions, that they will take care of the sustainability of space. You see what is the status today. 30 years ago, I had some hope, because in 2000, there was a real discussion between the US, Russia, China, Europe. We were in a much, much better situation to progress. And we do so little. We miss, we miss an opportunity 20 years ago, clearly, for that. But the situation, the international situation today, doesn't give me any hope about this until we have a much smoother situation.","One opportunity within Elon Musk's constellation involves having 20 satellites for telecommunication and one satellite dedicated to stability, removal, monitoring, etc. In such cases, collaboration with such a player is possible. You could propose integrating a function in their system that enhances sustainability, potentially increasing system costs by about 5%. This added cost is reasonable and could attract private companies to contribute.  Currently, the technology developed in this domain primarily diagnoses problems and monitors them, but real-time monitoring that can prevent collisions has not yet been achieved. It contributes to understanding and statistically tracking problem evolution over time. The challenge is converting this into value for a company. Operators are aware that this database is available at no cost, or at least accessible. They can make statistical analyses, assess collision probabilities, and consider risks. Failures in space are common, so when planning, an operator might expect a 90% operational probability for a certain duration. Every ten satellites might see one failure. The tools provided should enhance knowledge or predict the viability and operational duration of systems. If these tools were free, operators would be delighted. However, if your tools offer significant added value, enabling more precise designs or operational decisions in less risky orbits, it creates value for the operator. This might involve adjusting satellite altitudes or slightly enlarging solar panels to account for potential degradation, translating costs into clear benefits for the operator. Operators need to perceive a tangible value against the costs. This value might even be a form of greenwashing, allowing them to claim they invest a portion of their profits or emissions into sustainable research and monitoring. Alternatively, the value might be more direct and technical, quantifiable through improved satellite longevity or reliability. Furthermore, the value could be reputational or ethical, enhancing a company’s image by demonstrating a commitment to addressing space debris. This could also form a foundation for developing other tools, such as dynamic maps of space debris, providing a starting point for further integration and development. What is the added value? Is it for the company, the operator, or the government? From an engineering point of view, you can explain the improvements to the system or predictions if we collaborate, but is it simply relying on existing, already established systems? What is the added value you bring? You can explain this to an engineer like me, but if I want to convince the financial team to fund this additional data, I need to demonstrate the value clearly. This could be justified through a purely technical rationale or by enhancing the company's image, which, though less tangible, is still significant."
209,"There are two distinct questions to consider: ‘who should pay’ and ‘who will actually pay’. In the end, most of the costs will be borne by the government. They are the ones who put regulations in place, they are the biggest customers and biggest adopters of space technologies. They are paying for most of the space infrastructure. Even the bigger private companies, like SpaceX, get a lot of governmental funding. To sum it up, it will be the public sector.","Regulation is hard, because, if there are restrictions in one country, a company can avoid them by moving abroad. One way to solve this problem is to do what the US is doing: their space industry is so developed and attractive, that companies lean there, despite the US imposing some regulations. Key nations that control access to space need to have common standards and guidelines. The other way around it is to have a technology that is inherently sustainable and is so good that companies want to apply it because of its utility. If the new technology allows us to do things better, companies would use it, but not at an extra cost. A problematic point is geopolitical tensions.  Also there is no number (at least, I have not seen it) to put to a point after which things will get really bad. Like ‘we can launch these many more satellites, and then things will deteriorate dramatically’. So we need to quantify the risks and communicate them better.","I think you can take a dual approach. If companies want to pay, they expect a ready product. it is hard to sell raw data, they need ready solutions, ready answers to their questions. For example: “Is it safe to deploy our constellations in this orbit?”. This you can sell.  At the same time, they want transparency, so they would also want to see the raw data to be able to compare it to other raw data and ensure consistency. I see it as a consulting service. Since you are the ones creating the dataset, you know it the best, so you could sell knowledge to companies and governments. If you could really quantify the risks, that would be especially valuable. Particularly to insurance companies, because when a satellite operator wants to insure their satellite, an insurance company would want to have the most accurate and objective image of potential dangers. To sum up, both commercial and non-commercial paths can be combined. You really need to show people that your data is solid, but complex, so you can help companies figure out how to use your insights to help their businesses."
210,"As we see in many other domains, it should be the polluter to pay. Whoever offers a service, or benefits from the service, at the end of the day, should be the one to offset the environmental costs of the said service. We see it in other domains, like, a company who operates a nuclear reactor, they pay to a fund that takes care of minimizing negative side-effects. Insurance companies look at it too. Why should a state pay, or people should pay, for the damage that companies do while generating revenues? Especially in the context of private companies, This immediately brings up the question of regulations, because if it is not regulated, companies will not pay for it.","External regulations can certainly be a factor, but there is also self-regulation. Let's assume you are a company like SpaceX, with thousands of satellites in orbit. You would be concerned about collisions in the orbit where you have hundreds of thousands of assets. This presents a considerable risk that your business could be disrupted to a certain extent. Therefore, companies operating in a specific region would have a significant interest in ensuring that they do not become orbital debris themselves and would aim to reduce the risk of their operations being hampered by accidents, particularly collisions.It all depends on how the ecosystem evolves; it could very well be primarily about the protection of their own assets. Companies would want to ensure that their orbits remain relatively clean. We are talking here mostly about mega-constellations, large constellations, because these are the ones with the highest risks. Therefore, they are motivated to work together on a system where they can ensure reduced collision risks and debris formation.","The question is: how systematically do you cover the sky with your observations? In the context of space traffic management with large constellations in orbit, we need structure. Currently, there is no problem with managing orbital traffic, but soon we will need smart systems that allow satellites to avoid collisions. Who will coordinate it? Who will be responsible? Space traffic management is very data-driven. Having data to measure different objects is valuable and can contribute to developing a more comprehensive space traffic management system, which we will soon urgently need. This is one aspect; the other is to have as complete a picture of the sky as possible.From your explanation, you seem to be in the research domain, explaining how a satellite is tumbling, what is happening to a satellite, and even spotting space debris. You do not have a full picture of the space traffic but can see smaller objects, making it more research-related than business-related. Therefore, making it open source would allow other observatories to contribute. If you still want to pursue commercial avenues, you might offer your know-how. While it is limited in scope, you can demonstrate its applicability to other cases. At this stage, I see these two domains.Looking at the market, NORAD is trying to commercialize it. Several companies are becoming active in this domain, which could lead to technological breakthroughs that help develop more commercial opportunities.There is always the possibility to keep it open source and have many partners contribute to it. As a researcher, you invest in hardware and software, but it's uncertain if you will find sufficient data to complement your database. The Swiss Space Office and the army might be interested.If we ever have state-organized space traffic management, then state-owned sensors will also be used. They might be interested in your methodology, but not your archives, as they would have their own trusted sources of data. Hopefully, coordination will be conducted on a global scale. Who will take the lead remains an open question. It is quite difficult to get major countries—the US, Europe, Russia, China, India—to agree on which model to use and how to divide responsibilities and tasks. Perhaps in the civil sector, we might see such coordination, but the military sector will, of course, always remain closed.The new EU space law that was recently introduced might be of interest to you, as it will impact European space. This is certainly something to look into.This issue is recognized in the community, but it remains unclear whether it will be organized top-down or bottom-up."
211,"I think it shouldn't just be one party. Aviation might be the closest analogy—just as aircraft and ships in international waters are regulated; space, although free in principle, can be similarly governed. If there are regulations, then the entities that want to exploit space will have to comply. I believe the cost should ultimately be shared. There should be a responsibility to not just launch whatever you want and then leave someone else to clean up. That’s not the right strategy for me.","Companies tend to go for the lowest cost and the easiest path by default. For instance, in the case of insurances, there’s an external incentive model where safer practices might allow more exploitation rights. But generally, if the companies themselves don’t see immediate repercussions or benefits, they won’t change their practices. However, increased public concern can pressure companies to act responsibly because they wouldn’t want to be seen in a bad light.","Regarding its commercial potential or whether it should remain as an open-source academic project, I believe such a tool that enhances sustainability should benefit everyone. Ideally, it should be open-source, similar to how Google Maps started. This approach allows the community to contribute, enhancing its functionalities, such as possibly predicting dynamic collisions in the future. Starting it as an open-source project allows us to gain and give back to the community, which could lead to potential monetization strategies later on, similar to the model used by Linux. This could allow companies to decide whether the basic open-source version meets their needs or if a commercial version with additional features and support is worth investing in."
212,"There has to be an international collaboration between key spacefaring nations to coordinate legislation. And they should tell all the other countries: we will only partner with you in the space sector, if you meet our sustainable conditions. Space exploration is unimaginable without close partnerships between countries. Therefore, it could be the main leverage to develop and use sustainable space solutions. And now we need to have some more precise estimations on the environmental effect of space activities to motivate the states to unite and impose those conditions. If the effect is negligible, then why bother?","Relevance for people and their quality of life. For example, preventing satellites/rocket parts from falling into oceans, onto people’s homes. Or making the process of manufacturing satellites more sustainable (like, decreasing the amount of plastic used in satellite production), because we want to avoid emitting too much greenhouse gasses and harmful particles into the air that we breathe. As for the orbital pollution, I do not think there are enough satellites and debris now in orbit for private companies to get truly concerned, and therefore to start investing in cleaning up the path for themselves. From the standpoint of manufacturing satellites, there are commercial opportunities, because it would impact the Earth ecology directly. Also, we can consider sustainability as a ‘side effect’. For instance, we optimize production, supply chain, fuel consumption during launch in order, first of all, to reduce the costs, but it also has sustainability benefits. Also, there is the factor of noise pollution. It can be interesting, because it directly impacts people. So, in order to be commercially successful, a sustainable space technology must target a need that is tangible and noticeable directly on Earth and has an almost immediate effect on the quality of people’s life. That’s why I doubt that any company in the near future would be interested, for example, in solutions for preserving the lunar environment. It must be visible now and here. Sustainable space technologies are financed from the pocket of taxpayers, so taxpayers must feel the benefits. In a nutshell, noise reduction, transportation/supply chain optimization - these are the best angles to approach space sustainability from a commercial point of view. And of course, efficiency. A sustainable space technology requires capital and resources, so it must maximize the effect to be commercially interesting. So, minimal investment and maximum effect. For instance, take ‘hour of earth’. It’s an initiative, when people turn off the light for an hour to help economize electricity. But the truth is - the effect is negligible, but the efforts to raise awareness about this initiative are enormous. This is a huge disparity between the effort and the effect. For commercial sustainable technologies it must not be this way. They should apply minimal force to the spot with the most change potential.","XaaS is a good idea, but simply giving access is not enough. You might consider producing some manuals to help private adopters figure out how to navigate your repository. Or you can offer companies to process their data using your methodology, and they would pay for your work. then, you would use your repository as a demonstration of what you can do."
213,"Mostly private players pollute orbits. Also, the orbits are controlled by nobody. So, someone should take control and enforce it. If you want to go to LEO or GEO, you need to get your mission approved before you go. Just like in the aviation sector, they have the power to deny you access to the skies. NASA is going in the direction of delegating activities to private companies, and it becomes messy. So, someone should take the responsibility.","When it comes to commercializing sustainable space technologies, I do not see how it can be profitable. Unless the government is your customer. Maybe you can make it profitable by recycling the space debris in orbit. The companies might find it profitable to use the materials already circling the earth for their purposes.","There is such a technology developed at TU Darmstadt. It’s like, who’s paying for air traffic control? It’s not profitable per se, but it is essential, so someone does pay for it, and private companies benefit from the security that it provides. So, yeah, possibly, whoever wants to ensure that the satellites are operated properly should pay for such a tool."
214,"I think it should ultimately be a combination of both, but initially, it should be more weighted towards the government for several reasons. One of the big issues with sustainable space is all the debris currently up there, much of which comes from national state-sponsored missions. Addressing this would necessarily have to be funded by the government, as no commercial company would spend their own money removing objects that are already up there. So initially, at least, there would need to be a lot of government funding to mitigate these risks to spacecraft, which will always be present until they're deorbited or moved to a different orbit. Additionally, government funding is necessary to support the technology development needed for many of these commercial missions. For example, developing end-of-life services (removing a spacecraft if it failed at the end of its life) is a commercial activity because the spacecraft operator would want that spacecraft removed, it's a high-risk technology that requires significant investment and governmental support to become commercially viable.In the longer term, sustainable space operations would be funded by commercial organizations through their own revenue, covering their own costs for things like insurance as well. However, this would require the government to mandate that operators remove their spacecraft at the end of life, and therefore they would need to budget for that as part of the mission.","It's a combination of carrot and stick. The stick, or the regulatory side, would involve national regulators setting clear rules for what satellite operators can do and the consequences for non-compliance, such as fines. For example, a US space operator was recently fined because they didn't deorbit their satellite in the correct period. This could be a way to trick operators into following new regulations, but this will require agreement among nations. It's all very well if the UK, for instance, enforces strict regulations, but if operators could simply move to France or Germany, then it doesn't really matter. There has to be a consistent agreement among a critical mass of national regulators. The carrot involves reducing costs or generating new revenue. If spacecraft operators can cut costs by using reusable rockets or cheaper satellite materials, or if in-orbit servicing enables new business models like space-based solar power, that creates a new market and financial incentives for using sustainable approaches.","I think if the repository has specific information about large debris objects, if you could provide information on the rotation rate and its configuration; then that has value to companies that would be looking to do active debris removal or end of life services or something like that. And certainly from my experience in satellite operation, we would pay a reasonable amount of money to get that information so that we knew that when we built the spacecraft to go up there and remove it we knew exactly what it was doing before we got there. Without that information it's quite risky. But it's a very specific use case: there's only a handful of companies that perhaps would want to pay for that information and they would just look at a handful of objects. It depends somewhat on whether active debris removal becomes a real, well-funded activity; and a lot of the things already out there are state-owned, they're quite old. I don't think you'd probably bother with the Russians at the moment, I don't think that would work out very well.I think the problem with having it open source is that we have our own database of imagery which could, in theory, support projects like yours. However, it costs a lot of money to acquire that imagery, so we can't maintain an open source repository; it's all commercialized as a service. If people want that data, they have to pay for it because it's too costly for us to provide freely. I don't know if you face the same issue or whether you can obtain your data more cost-effectively. You could kind of do both: you could have a limited open source repository where there is some data about some well-known objects that could be used for, I mean, I don't truly know what the purpose of the repository might be, but it could be for academic collaboration or studying the dynamics of space debris or something like that. And that could be an open source repository. Then, you could have another repository that is far more detailed about other objects, which might also be sensitive. That would be a paid service."
215,"When we are talking about ‘should’, I would say both governments and companies. But in the end, it will be governments through taxpayers money maintaining the space environment.","I think it has a political impact. It is like a gold rush at the moment - look at how many big constellations are being planned right now. It is the ‘winner takes it all’ mentality. Like we see with IT companies, like Google as the market leader. SpaceX will occupy an orbit and make it unattractive to competitors. The US are quite aware of the risks, but it is difficult for them to balance economic and geopolitical interests. I think people are aware of the risks, there is just no solution, or nobody wants to stop it to a certain extent. There are also new challenges coming in, for example, disintegrating satellites in the atmosphere leaves dangerous amounts of particles there, and we didn’t realize it before.","What you could do is to keep it open-source so that other teams like yourselves can add more information to it. There is little value in archived data from a handful of observatories. You first need to make it more comprehensive. Once you have acquired enough data to make a map of skies (not necessarily dynamic even), you can try to partially commercialize it. I do not think that it will ever pay off in full, in the end, the initial costs were enormous, I assume, but you can streamline it for the industry and let them pay for your information on density clouds. But, once again, first you need to acquire a sufficient volume of information by open-sourcing the repository and methodology, so that others can apply your methodology on their data, otherwize there will be no uniformity.  ROUND 3"
301,"Probably a combination. Someone should feel responsible for whatever is sent to space, so the entity launching anything into space should be responsible for what is sent.","I would say ethics should, in principle, push companies to do things right. But if you look at the past and other domains, this didn’t necessarily work that way. So the main drivers for companies are probably money. Either they make money from sustainable technologies, or they need to pay penalties if they don’t use them. Money might be the main factor. And this is if we stay in a regime where having a low Earth orbit asset is still possible. It’s in everyone’s interest to keep the lower half of low Earth orbit as clean as possible so that everyone can enjoy it. So I guess, in a reasonable regime, money, and also to avoid Kessler syndrome, where this part of space is not useful or usable anymore.","That's one way to use public money to stimulate the private sector. I guess most of the time it's probably fine, but ethically, using public money to generate revenue for private companies is questionable. Initially, public money was not meant to generate revenue for the private sector. I don't think that was the original intention. This money might have been wasteful, but maybe it wasn't. I don't know. I'm not a politician."
302,"Space does not belong to anyone but also space belongs to everyone. I think, ideally, it should be the government that pays because it's the tax money they collect from the citizens of countries. Mainly, the governments of the space-faring nations should be responsible for funding sustainable space exploration. But at the same time, now that we see the commercial part of space exploration becoming more common with so many private players coming in, they should also contribute to having a more sustainable exploration.Private players shouldn’t only focus on profits and business; rather, they should adopt a more sustainable approach and work with the government to fund sustainable space technologies.","One of the main motivations for companies should be to continue their work and not just seek momentary business or profit for a couple of years without being able to sustain their business. If you want something to continue, it should be sustainable enough to keep working for a few decades or more. That’s a major motivation.If they are visionaries looking into the future of their business, they should adopt more sustainable practices and, most importantly, learn from what we have done to Earth. Instead of going for quick profits, they should think about how space can be utilized for the long term. Another motivation could be incentives from the government or policymakers driving space exploration. Recently, directives by sustainable space organizations have offered incentives for sustainable private players, and several companies have signed deals to be sustainable and carry on the legacy of space exploration.","In a commercial context, ODLI data would be very useful for any satellite operator or company planning to send anything to space. They can plan their missions based on this data, including their orbits and astrodynamics. This is definitely useful for satellite companies and academics involved in mission planning and launching satellites. Open source is always more useful for academics. If you can open source some part of it or provide a trial version for academics to use and provide feedback, that could be a good approach. You could provide free access to academics while private companies pay a fee, or offer a demo version with limited access to the general public and different subscription modes."
303,"In my opinion, space development and sustainable operations should ultimately be driven by the private sector. However, in the initial phase, the government, which has numerous projects and resources, should focus on fundamental research and challenging orbital operations. Once such technology is established, the private sector should play an important role in sustaining these activities. Meanwhile, the government and academia should focus on inventing new technologies. Utilization should be the responsibility of the industrial sector.","Private companies should learn how to generate financial profit from these activities. For example, the government should fund startups to accelerate new trials and attempts. We need to establish an economic ecosystem to facilitate this money flow. Currently, many space technology startups struggle to sustain their activities due to financial issues. In the USA, the economic system supports companies through initial failures, allowing them to gain knowledge and know-how. However, in Japan, media often criticize space trials that fail due to the high costs involved, making it difficult for these endeavors to be sustainable. It's essential to involve more public domains in supporting these crucial challenges for humanity. The mass media plays a critical role. Programs like Space Daily are important, but they often don't receive enough public attention.","This is an important question. From my perspective, I'm not sure how many industrial sectors pay attention to open source software. Academic researchers often rely on open source resources due to limited funding. However, industrial sectors may not pay much attention to open source software, as they often use internally developed tools. Directly advertising open source tools to specific companies can be effective. Large industrial companies may not initially be aware of the benefits of open source software compared to their proprietary tools. Direct communication with relevant companies is crucial to demonstrate the advantages of open source tools. Feedback from these companies can help decide whether to open source the software or license it to specific companies."
304,"It should be a combination of both. If only the government pays, they would also be paying for commercial players who make money with space activities. Conversely, if only commercial players pay, there are satellites that are institutional and based on government research, like Copernicus, involving big agencies. It wouldn’t be fair for commercial players to shoulder all the costs. A pro-rata model, where the cost is based on the extent of space usage and the operational lifetime, would be fairer.","A space law is necessary. Without laws and standards that people must follow, compliance won't happen. It's similar to the CO2 footprint; if people are not obliged to pay, they won’t. This should be a global rule, not just a national one. Otherwise, only one country would contribute, and those with the most output would avoid paying due to the high costs.","Combining datasets with dynamic datasets could enhance their usefulness, especially for tracking smaller debris. Integrating machine learning with optical systems on CubeSats, Starlinks, or Kuipers to analyze live data could be beneficial. It’s important to establish a common language for these datasets to ensure compatibility. Regarding open sourcing, a trial period could be useful. Open source the dataset for six months to a year, gather feedback, and then decide whether to move to a licensing model. A low-cost licensing model could allow continued access while supporting further development. Offering free access for research purposes to those enhancing the dataset could also be an effective approach. This combined model allows for the intake of user feedback to improve the dataset or tool."
305,"It's extremely difficult because every country needs to agree on it, and you have no power over it. It's like the gold rush in space. In my opinion, the first to pay would be the user. When you send equipment into space, you should take into account the impact, as is the case on the ground. Normally, you have the policy, ""polluter pays."" If you have to pay more to put something in space, the downstream will also pay more because the service will cost more. So, in the end, it's extremely difficult to implement because there is no agreement between countries. I don't know how to enforce that because you need a legal base. Without one, the industry is not willing to pay for pollution, even if in the long term, the effect will also be detrimental to the companies. The government has to enforce that, but from an international point of view. If you follow the principle of ""polluter pays,"" it means that there is a certain tax that a company pays to their government, which then implements sustainable solutions, like cleaning up the orbits. I don't know if it's a good model or if it works, but this is what's done on the ground. I think it's probably the way because the effect has a lot of costs to add sustainability to the space systems. Who is willing to pay for that?","The problem with sustainability is there is no added value, purely financially speaking. In the long term, for sure, because if you completely pollute and cannot use it, but it's short term, and I know that most companies, at least the public ones, have a pace which is a trimester. So they have to show good results every trimester.","Satellite operators might not want to insert their satellites in this orbit or choose another one, based on your information on density clouds. Or it could be for someone who is actually creating a dynamic map of skies. They need the initial data, and the methodology on how to identify space debris. It's a really difficult case. Maybe the insurances could be your customers. They can also force the operator. Maybe once the risk will increase related to the collision of debris, these insurances could be the leverage. Because they are paying if there is an issue. And if they are paying, they will invoice more to the company or ask for more safety for the flights. but it depends on the levels of actual risk. There will not be so many NGOs interested in space. An NGO cannot live from space because they need to have people paying for what they are doing with animals, with poverty. With space, it's much more difficult. The distance, the remoteness is clearly an element. It's really not easy. We see the sustainability rating that was developed by our colleague and it's extremely difficult to sell it. There is no added value to that. Companies, it's not because they have money that they are willing to pay. Recently, I read a paper about finance and investments and there are less than 10% of the investors who are interested in sustainability.  We are speaking of people who have the money who would be able to potentially change things but they are not willing to."
